group,n,deferral_rate,global_deferral_rate,disparity_ratio,group_var,model,recal,seed
Medicare,2579,0.11322217913920124,0.10017123287671233,1.130286369526385,insurance_group,mlp,none,2
Other,1442,0.0825242718446602,0.10017123287671233,0.823832047133018,insurance_group,mlp,none,2
18-44,586,0.07508532423208192,0.10017123287671233,0.7495697325048861,age_band,mlp,temperature,2
45-64,1573,0.08518753973299428,0.10017123287671233,0.8504192000695497,age_band,mlp,temperature,2
65-79,1622,0.10974106041923551,0.10017123287671233,1.095534688629633,age_band,mlp,temperature,2
80+,891,0.12570145903479238,0.10017123287671233,1.2548658474584402,age_band,mlp,temperature,2
F,2012,0.10337972166998012,0.10017123287671233,1.0320300419703998,sex,mlp,temperature,2
M,2660,0.09774436090225563,0.10017123287671233,0.9757727652464494,sex,mlp,temperature,2
Asian,149,0.040268456375838924,0.10017123287671233,0.40199621407675096,ethnicity_group,mlp,temperature,2
Black,395,0.0759493670886076,0.10017123287671233,0.7581953911067836,ethnicity_group,mlp,temperature,2
Hispanic,143,0.07692307692307693,0.10017123287671233,0.7679158448389218,ethnicity_group,mlp,temperature,2
Other,985,0.12487309644670051,0.10017123287671233,1.2465963816217625,ethnicity_group,mlp,temperature,2
White,3000,0.09933333333333333,0.10017123287671233,0.9916353276353276,ethnicity_group,mlp,temperature,2
Medicaid,651,0.08755760368663594,0.10017123287671233,0.8740793256922289,insurance_group,mlp,temperature,2
Medicare,2579,0.11322217913920124,0.10017123287671233,1.130286369526385,insurance_group,mlp,temperature,2
Other,1442,0.0825242718446602,0.10017123287671233,0.823832047133018,insurance_group,mlp,temperature,2
